ID,Title,Year,Certificate,Time,Genre,IMDB rating,Metascore,Number of vote,Movie link
tt0079100,The Electric Horseman,(1979),PG,121 min,"Comedy, Drama, Romance",6.4,64,9340,/title/tt0079100/?ref_=adv_li_tt
tt5066556,The Tiger,(2015),Not Rated,139 min,"Action, Adventure, Drama",7.3,-1,5398,/title/tt5066556/?ref_=adv_li_tt
tt2390276,Highway Thru Hell,(2012– ),No-certificate,46 min,Documentary,8.1,-1,1148,/title/tt2390276/?ref_=adv_li_tt
tt15847098,Learning with Pibby: Apocalypse,,No-certificate,runtime-unknow,"Comedy, Horror",-1,-1,-1,/title/tt15847098/?ref_=adv_li_tt
tt0067341,Let's Scare Jessica to Death,(1971),GP,89 min,"Drama, Horror, Mystery",6.4,58,8224,/title/tt0067341/?ref_=adv_li_tt
tt16428772,Baba,(2022– ),No-certificate,120 min,Drama,8.9,-1,35,/title/tt16428772/?ref_=adv_li_tt
tt0095241,Gor,(1987),PG,94 min,"Action, Adventure, Fantasy",3.5,-1,2056,/title/tt0095241/?ref_=adv_li_tt
tt6609150,Reacher: An Unexpected Family,(2017 Video),No-certificate,15 min,"Documentary, Short",4.4,-1,17,/title/tt6609150/?ref_=adv_li_tt
tt9569610,Kaagaz,(2021),No-certificate,109 min,"Biography, Comedy, Drama",7.5,-1,8346,/title/tt9569610/?ref_=adv_li_tt
tt14255042,Màkari,(2021– ),No-certificate,runtime-unknow,"Comedy, Crime, Drama",6.1,-1,79,/title/tt14255042/?ref_=adv_li_tt
tt0110631,Nattevagten,(1994),R,107 min,Thriller,7.2,-1,15983,/title/tt0110631/?ref_=adv_li_tt
tt8372778,Champaign ILL,(2018),No-certificate,27 min,Comedy,7.0,-1,566,/title/tt8372778/?ref_=adv_li_tt
tt0103477,The Little Mermaid,(1992–1994),TV-Y,25 min,"Animation, Short, Adventure",6.8,-1,4903,/title/tt0103477/?ref_=adv_li_tt
tt12547822,Run Rabbit Run,(2022),No-certificate,runtime-unknow,"Horror, Thriller",-1,-1,-1,/title/tt12547822/?ref_=adv_li_tt
tt0101004,Zandalee,(1991),R,100 min,"Drama, Romance, Thriller",4.4,-1,3746,/title/tt0101004/?ref_=adv_li_tt
tt0112602,Bushwhacked,(1995),PG-13,90 min,"Adventure, Comedy, Crime",5.6,-1,6062,/title/tt0112602/?ref_=adv_li_tt
tt11910134,Nobody Knows,(2020),No-certificate,70 min,"Crime, Drama, Mystery",8.1,-1,257,/title/tt11910134/?ref_=adv_li_tt
tt0065566,The Computer Wore Tennis Shoes,(1969),G,91 min,"Comedy, Family, Sci-Fi",6.0,54,5144,/title/tt0065566/?ref_=adv_li_tt
tt0094466,Freddy's Nightmares,(1988–1990),TV-14,60 min,"Horror, Thriller",6.4,-1,2951,/title/tt0094466/?ref_=adv_li_tt
tt15716528,Joy for Christmas,(2021 TV Movie),No-certificate,86 min,"Comedy, Romance",6.3,-1,300,/title/tt15716528/?ref_=adv_li_tt
tt13623880,Night at the Museum: Kahmunrah Rises Again,(2022),No-certificate,runtime-unknow,"Animation, Adventure, Comedy",-1,-1,-1,/title/tt13623880/?ref_=adv_li_tt
tt1934818,So Random!,(2011–2012),TV-G,22 min,"Comedy, Family, Musical",4.7,-1,2351,/title/tt1934818/?ref_=adv_li_tt
tt0489327,Venus,(I) (2006),R,95 min,"Comedy, Drama, Romance",7.1,82,12936,/title/tt0489327/?ref_=adv_li_tt
tt0097883,Millennium,(1989),PG-13,108 min,"Drama, Sci-Fi, Thriller",5.8,26,6347,/title/tt0097883/?ref_=adv_li_tt
tt0780608,Smiley Face,(2007),R,85 min,Comedy,5.8,71,17342,/title/tt0780608/?ref_=adv_li_tt
tt0076915,The White Buffalo,(1977),PG,97 min,"Action, Adventure, Western",6.2,25,4380,/title/tt0076915/?ref_=adv_li_tt
tt5544138,Klem,(2017–2020),No-certificate,45 min,Drama,7.8,-1,1226,/title/tt5544138/?ref_=adv_li_tt
tt0086058,The Osterman Weekend,(1983),R,103 min,"Action, Drama, Thriller",5.9,-1,8555,/title/tt0086058/?ref_=adv_li_tt
tt13918776,The Night Agent,,No-certificate,runtime-unknow,"Action, Drama, Thriller",-1,-1,-1,/title/tt13918776/?ref_=adv_li_tt
tt0044287,Our Miss Brooks,(1952–1956),No-certificate,30 min,"Comedy, Family",8.1,-1,576,/title/tt0044287/?ref_=adv_li_tt
tt1064884,Jesse Stone: Thin Ice,(2009 TV Movie),Not Rated,88 min,"Crime, Drama, Mystery",7.3,-1,3569,/title/tt1064884/?ref_=adv_li_tt
tt0064571,Eagles Over London,(1969),PG,100 min,"Action, Drama, War",5.7,-1,593,/title/tt0064571/?ref_=adv_li_tt
tt12545566,Mr. Malcolm's List,(2022),No-certificate,runtime-unknow,"Comedy, Romance",-1,-1,-1,/title/tt12545566/?ref_=adv_li_tt
tt0285492,Cube²: Hypercube,(2002),R,94 min,"Drama, Horror, Mystery",5.6,-1,66296,/title/tt0285492/?ref_=adv_li_tt
tt0092948,Eddie Murphy: Raw,(1987),R,93 min,"Documentary, Comedy",7.7,54,19491,/title/tt0092948/?ref_=adv_li_tt
tt1658851,Toast,(2010 TV Movie),Not Rated,96 min,"Biography, Comedy, Drama",6.6,57,9691,/title/tt1658851/?ref_=adv_li_tt
tt3520216,Fair Haven,(2016),Not Rated,90 min,Drama,6.8,-1,2634,/title/tt3520216/?ref_=adv_li_tt
tt0443559,Killshot,(2008),R,95 min,"Action, Crime, Drama",6.0,-1,20958,/title/tt0443559/?ref_=adv_li_tt
tt12048470,Mystery Incorporated,(2022– ),No-certificate,runtime-unknow,"Crime, Drama, Mystery",-1,-1,-1,/title/tt12048470/?ref_=adv_li_tt
tt14403178,Beef,,No-certificate,30 min,"Comedy, Drama",-1,-1,-1,/title/tt14403178/?ref_=adv_li_tt
tt0844457,North Face,(2008),Not Rated,126 min,"Adventure, Biography, Drama",7.4,67,15576,/title/tt0844457/?ref_=adv_li_tt
tt10622972,Jhimma,(2021),No-certificate,130 min,Drama,8.1,-1,669,/title/tt10622972/?ref_=adv_li_tt
tt1535101,Killing Bono,(2011),R,114 min,"Comedy, Music",6.4,46,6390,/title/tt1535101/?ref_=adv_li_tt
tt5513260,Surf's Up 2: WaveMania,(2016 Video),PG,84 min,"Animation, Adventure, Comedy",4.6,-1,2169,/title/tt5513260/?ref_=adv_li_tt
tt0116259,Extreme Measures,(1996),R,118 min,"Crime, Drama, Mystery",6.2,-1,19295,/title/tt0116259/?ref_=adv_li_tt
tt4144190,Wiener-Dog,(2016),R,88 min,"Comedy, Drama",5.9,66,10057,/title/tt4144190/?ref_=adv_li_tt
tt0107566,Mi vida loca,(1993),R,92 min,"Crime, Drama",6.5,-1,2145,/title/tt0107566/?ref_=adv_li_tt
tt0079268,Hanover Street,(1979),PG,109 min,"Action, Adventure, Drama",6.1,32,5233,/title/tt0079268/?ref_=adv_li_tt
tt0460745,Chaos Theory,(II) (2007),PG-13,87 min,"Comedy, Drama, Romance",6.6,44,32462,/title/tt0460745/?ref_=adv_li_tt
tt0128278,Instinct,(1999),R,126 min,"Drama, Thriller",6.6,43,32926,/title/tt0128278/?ref_=adv_li_tt
tt0058888,Red Beard,(1965),Not Rated,185 min,Drama,8.4,-1,18610,/title/tt0058888/?ref_=adv_li_tt
tt0217579,Jason and the Argonauts,(2000),No-certificate,180 min,"Adventure, Fantasy",6.0,-1,5188,/title/tt0217579/?ref_=adv_li_tt
tt6717058,Grizzy and the Lemmings,(2007– ),TV-Y7,7 min,"Animation, Comedy, Family",7.0,-1,540,/title/tt6717058/?ref_=adv_li_tt
tt4902716,Rebirth,(I) (2016),TV-MA,100 min,Thriller,5.0,-1,5114,/title/tt4902716/?ref_=adv_li_tt
tt16431966,Sometimes I Think About Dying,(2022),No-certificate,runtime-unknow,Drama,-1,-1,-1,/title/tt16431966/?ref_=adv_li_tt
tt4324274,Batman vs. Robin,(2015 Video),PG-13,80 min,"Animation, Action, Adventure",7.1,-1,21904,/title/tt4324274/?ref_=adv_li_tt
tt14167424,Searching for Sheela,(2021),No-certificate,58 min,"Documentary, Biography, Crime",4.3,-1,1290,/title/tt14167424/?ref_=adv_li_tt
tt1635327,Nostalgia Critic,(2007– ),TV-14,runtime-unknow,"Comedy, Fantasy",7.5,-1,9294,/title/tt1635327/?ref_=adv_li_tt
tt0363473,Beyond the Sea,(2004),PG-13,118 min,"Biography, Drama, Music",6.7,46,14922,/title/tt0363473/?ref_=adv_li_tt
tt0070622,Sssssss,(1973),PG,99 min,"Horror, Sci-Fi",5.4,-1,3569,/title/tt0070622/?ref_=adv_li_tt
tt0088476,Alfred Hitchcock Presents,(1985–1989),No-certificate,22 min,"Crime, Drama, Mystery",7.7,-1,2762,/title/tt0088476/?ref_=adv_li_tt
tt7453138,Her Name Was Christa,(2020),No-certificate,119 min,"Horror, Romance, Thriller",4.6,-1,2143,/title/tt7453138/?ref_=adv_li_tt
tt1400526,Lost Boys: The Thirst,(2010 Video),R,81 min,"Action, Adventure, Comedy",5.1,-1,4449,/title/tt1400526/?ref_=adv_li_tt
tt0374853,Malice in Wonderland,(2009),R,87 min,"Adventure, Drama, Fantasy",5.9,-1,3223,/title/tt0374853/?ref_=adv_li_tt
tt0091829,Rawhead Rex,(1986),R,89 min,"Fantasy, Horror, Mystery",5.3,-1,5575,/title/tt0091829/?ref_=adv_li_tt
tt1286130,Battlestar Galactica: The Plan,(2009 Video),Not Rated,112 min,"Action, Adventure, Drama",7.1,-1,20315,/title/tt1286130/?ref_=adv_li_tt
tt2027140,Mood Indigo,(2013),Not Rated,94 min,"Comedy, Drama, Fantasy",6.5,54,15846,/title/tt2027140/?ref_=adv_li_tt
tt0018737,Pandora's Box,(1929),Not Rated,109 min,"Crime, Drama, Romance",7.8,-1,10555,/title/tt0018737/?ref_=adv_li_tt
tt0072791,Cleopatra Jones and the Casino of Gold,(1975),R,94 min,Action,5.7,-1,930,/title/tt0072791/?ref_=adv_li_tt
tt0086011,A Night in Heaven,(1983),R,83 min,"Drama, Romance",4.3,-1,1333,/title/tt0086011/?ref_=adv_li_tt
tt13145186,Olga,(2021),No-certificate,85 min,"Drama, Sport",7.0,-1,247,/title/tt13145186/?ref_=adv_li_tt
tt10919074,Howling Village,(2019),No-certificate,108 min,"Horror, Mystery, Thriller",4.9,-1,739,/title/tt10919074/?ref_=adv_li_tt
tt2167393,The Men Who Built America,(2012),TV-14,120 min,"Documentary, Biography, History",8.6,-1,4025,/title/tt2167393/?ref_=adv_li_tt
tt0948539,Kath & Kim,(2008–2009),Not Rated,runtime-unknow,Comedy,4.9,-1,2154,/title/tt0948539/?ref_=adv_li_tt
tt1820723,Treasure Island,(2012 TV Movie),No-certificate,180 min,"Action, Adventure, History",6.3,-1,6073,/title/tt1820723/?ref_=adv_li_tt
tt0311210,Out of the Ashes,(2003 TV Movie),R,113 min,Drama,6.8,-1,1189,/title/tt0311210/?ref_=adv_li_tt
tt0181288,American Movie,(1999),R,107 min,"Documentary, Comedy",7.9,84,17696,/title/tt0181288/?ref_=adv_li_tt
tt10255320,Deviant Love,(2019),TV-14,87 min,Thriller,3.5,-1,423,/title/tt10255320/?ref_=adv_li_tt
tt0050781,The Hunchback of Notre Dame,(1956),PG,104 min,"Drama, History, Horror",6.7,-1,2689,/title/tt0050781/?ref_=adv_li_tt
tt0116860,"Pretty Village, Pretty Flame",(1996),No-certificate,115 min,"Comedy, Drama, History",8.7,-1,16186,/title/tt0116860/?ref_=adv_li_tt
tt0059221,The Ghost and Mr. Chicken,(1966),G,90 min,"Comedy, Family, Mystery",7.3,-1,6491,/title/tt0059221/?ref_=adv_li_tt
tt0091396,Legal Eagles,(1986),PG,116 min,"Comedy, Crime, Romance",6.0,57,10828,/title/tt0091396/?ref_=adv_li_tt
tt0093995,Slugs,(1988),R,89 min,Horror,5.3,-1,4990,/title/tt0093995/?ref_=adv_li_tt
tt8001250,Always a Witch,(2019–2020),TV-14,40 min,"Drama, Fantasy",6.3,-1,2370,/title/tt8001250/?ref_=adv_li_tt
tt0053729,Comanche Station,(1960),Approved,73 min,"Drama, Western",7.0,-1,3665,/title/tt0053729/?ref_=adv_li_tt
tt0940656,Arthur 3: The War of the Two Worlds,(2010),PG,101 min,"Animation, Adventure, Family",5.5,-1,8968,/title/tt0940656/?ref_=adv_li_tt
tt5238904,Assimilate,(I) (2019),TV-PG,93 min,Thriller,5.3,-1,6618,/title/tt5238904/?ref_=adv_li_tt
tt0081748,Where the Buffalo Roam,(1980),R,99 min,"Biography, Comedy",6.6,-1,11774,/title/tt0081748/?ref_=adv_li_tt
tt11244786,Juliantina,(2019),No-certificate,30 min,Drama,9.2,-1,309,/title/tt11244786/?ref_=adv_li_tt
tt0094155,Tin Men,(1987),R,112 min,"Comedy, Drama",6.6,75,8479,/title/tt0094155/?ref_=adv_li_tt
tt16527056,Murder Under the Friday Night Lights,(2022– ),No-certificate,runtime-unknow,Crime,7.8,-1,25,/title/tt16527056/?ref_=adv_li_tt
tt0058606,"Spider Baby or, the Maddest Story Ever Told",(1967),Not Rated,81 min,"Comedy, Horror",6.9,63,6793,/title/tt0058606/?ref_=adv_li_tt
tt5000698,Marriage of Lies,(2016),TV-PG,102 min,Thriller,5.0,-1,454,/title/tt5000698/?ref_=adv_li_tt
tt0096641,The All New Mickey Mouse Club,(1989–1995),TV-G,30 min,"Family, Music",7.3,-1,441,/title/tt0096641/?ref_=adv_li_tt
tt0032943,Pride and Prejudice,(1940),Approved,118 min,"Drama, Romance",7.4,84,8119,/title/tt0032943/?ref_=adv_li_tt
tt0439341,6Teen,(2004–2010),TV-PG,22 min,"Animation, Comedy, Drama",7.2,-1,5595,/title/tt0439341/?ref_=adv_li_tt
tt11886384,Land of Dreams,(2021),No-certificate,113 min,Comedy,6.0,-1,90,/title/tt11886384/?ref_=adv_li_tt
tt0824758,The Last Station,(2009),R,112 min,"Biography, Drama, Romance",7.0,76,18480,/title/tt0824758/?ref_=adv_li_tt
tt0101846,F/X2,(1991),PG-13,108 min,"Action, Thriller",5.9,48,10755,/title/tt0101846/?ref_=adv_li_tt
tt0065054,Sweet Charity,(1969),G,149 min,"Comedy, Drama, Music",7.0,53,5737,/title/tt0065054/?ref_=adv_li_tt
tt0050539,The Incredible Shrinking Man,(1957),Not Rated,81 min,"Horror, Sci-Fi",7.6,73,17621,/title/tt0050539/?ref_=adv_li_tt
tt0462519,School for Scoundrels,(2006),PG-13,100 min,Comedy,5.9,44,29431,/title/tt0462519/?ref_=adv_li_tt
tt0252684,Manic,(2001),R,100 min,Drama,7.2,60,9594,/title/tt0252684/?ref_=adv_li_tt
